# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
1.378810109075520263e+00,6.392694063926940373e+01,3.882818397421138046e-02,1.579392245353162672e+01,6.558836469624136356e+00,3.227256267793097988e-02,2.956128130754846950e+01,9.743232592371986911e+00
1.396263401595463582e+00,6.347031963470319482e+01,3.868964933630308217e-02,1.604959732127537109e+01,6.644845714732023012e+00,3.168321193641669697e-02,3.083688682385005109e+01,9.942620891237710978e+00
1.413716694115406902e+00,6.301369863013698591e+01,3.854992614921698424e-02,1.630890421518976652e+01,6.730945660407749997e+00,3.109673622898557338e-02,3.210843830620991213e+01,1.013232463414663265e+01
1.431169986635350000e+00,6.255707762557076990e+01,3.840895052263500198e-02,1.657278861815440862e+01,6.817135874809989282e+00,3.052593763956216663e-02,3.335641650179049833e+01,1.030996916210435188e+01
1.448623279155293542e+00,6.210045662100456099e+01,3.826665606618220861e-02,1.684359715570170479e+01,6.903415919696787029e+00,2.998361825207108977e-02,3.455761868833155859e+01,1.047323489433699351e+01
1.466076571675236861e+00,6.164383561643835208e+01,3.812297369303258715e-02,1.711660100988276767e+01,6.989785352752329928e+00,2.948258015043694544e-02,3.568273616094593592e+01,1.061990836917408387e+01
1.483529864195180181e+00,6.118721461187214317e+01,3.797783140823365183e-02,1.739658142551390796e+01,7.076243729563957530e+00,2.903496033165550369e-02,3.670454189706511983e+01,1.074791165315000185e+01
1.500983156715123279e+00,6.073059360730593426e+01,3.783115411001361506e-02,1.768205207093112108e+01,7.162790605269917954e+00,2.863781256009871254e-02,3.762496467338244344e+01,1.085931373204891592e+01
1.518436449235066599e+00,6.027397260273972535e+01,3.768286332339273320e-02,1.797184244313761781e+01,7.249425535898304851e+00,2.827322517956006726e-02,3.847317459553325847e+01,1.095992568745389306e+01
1.535889741755009918e+00,5.981735159817350933e+01,3.753287696076228197e-02,1.826965750892425078e+01,7.336148079419273493e+00,2.792264500976750566e-02,3.930841486429608977e+01,1.105527387459519062e+01
