# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
3.124139361069850018e+00,1.826484018264839904e+01,1.095707953819306281e-02,2.295999994093391194e+01,1.350125260376253067e+01,7.907093177125485524e-04,1.154854624093986182e+01,1.434470173931040016e+01
3.141592653589793116e+00,1.780821917808219013e+01,1.067971736143158087e-02,2.256420284909582108e+01,1.352825295775813785e+01,7.451730887359073099e-04,1.150911974618385258e+01,1.434811245205173869e+01
3.159045946109736658e+00,1.735159817351598122e+01,1.040301512424091947e-02,2.217504531582024541e+01,1.355481660607495975e+01,7.011386345716894876e-04,1.147122522371638809e+01,1.435140878023676869e+01
3.176499238629679756e+00,1.689497716894977231e+01,1.012696381663397323e-02,2.179325471266162495e+01,1.358096528579416074e+01,6.613681959136700128e-04,1.143716743772266753e+01,1.435438430882733307e+01
3.193952531149622853e+00,1.643835616438355984e+01,9.851554724481216552e-03,2.141480629396057367e+01,1.360671948916070484e+01,6.286240134556100433e-04,1.140922752126148509e+01,1.435683300782357819e+01
3.211405823669566395e+00,1.598173515981735093e+01,9.576779214473165464e-03,2.104615027302001806e+01,1.363209855668143433e+01,6.054157769590153438e-04,1.138947137529261333e+01,1.435856795868295244e+01
3.228859116189509493e+00,1.552511415525114025e+01,9.302628507488863718e-03,2.068281987172579051e+01,1.365712077125694002e+01,5.916575427775500008e-04,1.137777564499387672e+01,1.435959622247116840e+01
3.246312408709453035e+00,1.506849315068493134e+01,9.029093483441438112e-03,2.032323973489773294e+01,1.368180344604465226e+01,5.857373473740258314e-04,1.137274629477710164e+01,1.436003863045717210e+01
3.263765701229396132e+00,1.461187214611872065e+01,8.756164376938147670e-03,1.997283874470694798e+01,1.370616298982882952e+01,5.860237067139615176e-04,1.137298951974682026e+01,1.436001723199593982e+01
3.281218993749339674e+00,1.415525114155250996e+01,8.483830958232589994e-03,1.962617648897542466e+01,1.373021498941928975e+01,5.908851367628831144e-04,1.137711935689370257e+01,1.435965394521031513e+01
3.298672286269282772e+00,1.369863013698630105e+01,8.212081069371126446e-03,1.928638094357897614e+01,1.375397425661218875e+01,5.986901534862958596e-04,1.138375259466389977e+01,1.435907064148164736e+01
3.316125578789226314e+00,1.324200913242009037e+01,7.940903614834016189e-03,1.894980152694456166e+01,1.377745490187938593e+01,6.078072728497324216e-04,1.139150552626211166e+01,1.435838920435618959e+01
3.333578871309169411e+00,1.278538812785388146e+01,7.670293059875702389e-03,1.862227491938748258e+01,1.380067036972880423e+01,6.166494072123982796e-04,1.139902960205880511e+01,1.435772824402862291e+01
3.351032163829112953e+00,1.232876712328767077e+01,7.400243786089985565e-03,1.829617515527677085e+01,1.382363350359334397e+01,6.242730829694927716e-04,1.140552100107381506e+01,1.435715830464798870e+01
3.368485456349056051e+00,1.187214611872146008e+01,7.130739608563035556e-03,1.797722825890620868e+01,1.384635657315537749e+01,6.302199099374478780e-04,1.141058738714840537e+01,1.435671368624268673e+01
3.385938748868999149e+00,1.141552511415525117e+01,6.861766892985519777e-03,1.766326481731123010e+01,1.386885133058487263e+01,6.340433913046056216e-04,1.141384612731859782e+01,1.435642780320394252e+01
