# Angles (rad),Stance Percentage (%),Transmission Cable Displacement (m),Transmission Cable Force (N),Storage Cable Force (N),Scaled Transmission Cable Displacement (cm),Scaled Transmission Cable Force (N),Scaled Storage Cable Force (N)
1.727875959474386436e+00,5.479452054794520421e+01,3.173878906091674029e-02,3.715815755639599871e+01,8.395879042275410598e+00,2.326441548067645360e-02,7.834534885601753729e+01,1.237651004252887255e+01
1.745329251994329534e+00,5.433789954337899530e+01,3.158885502354727426e-02,3.793127453764456192e+01,8.502782828781258573e+00,2.277776373956878417e-02,7.525228743577899593e+01,1.250619841286634504e+01
1.762782544514272853e+00,5.388127853881277929e+01,3.143784529679476136e-02,3.871497296615486050e+01,8.609473456866458818e+00,2.224462547188703343e-02,7.217224993065255489e+01,1.264189617602220395e+01
1.780235837034215951e+00,5.342465753424657038e+01,3.128569760971961627e-02,3.950912177770176470e+01,8.715908583252023334e+00,2.165985894327655467e-02,6.898164815728212318e+01,1.278371089673848182e+01
1.797689129554159271e+00,5.296803652968036147e+01,3.113234764888860723e-02,4.030583011375191660e+01,8.822060181064774298e+00,2.104748051028525885e-02,6.582299344262702334e+01,1.292501677862161102e+01
1.815142422074102813e+00,5.251141552511415256e+01,3.097772879894275869e-02,4.112112510851743252e+01,8.927873550246108181e+00,2.043866496091613361e-02,6.283911473839857109e+01,1.305881186124758742e+01
1.832595714594046132e+00,5.205479452054794365e+01,3.082177193628690692e-02,4.193591622074738012e+01,9.033321651554274467e+00,1.986406886138186029e-02,6.016146014185863322e+01,1.317946148720950106e+01
1.850049007113989230e+00,5.159817351598173474e+01,3.066440539131595061e-02,4.277023744770565372e+01,9.138364603661225161e+00,1.933742704070015236e-02,5.780725045204903978e+01,1.328559695677221164e+01
1.867502299633932550e+00,5.114155251141552583e+01,3.050555461340288821e-02,4.360226147387184881e+01,9.242955184724465312e+00,1.885219454025839972e-02,5.572603534430076166e+01,1.337987044718261487e+01
1.884955592153875870e+00,5.068493150684930981e+01,3.034514197146048059e-02,4.445449354268524189e+01,9.347061724240717240e+00,1.840062966274873604e-02,5.386304636386619649e+01,1.346475010717861842e+01
1.902408884673818967e+00,5.022831050228310090e+01,3.018308665519436190e-02,4.530742368186744073e+01,9.450650645544829587e+00,1.797499071086334707e-02,5.215430185239558369e+01,1.354237387699979145e+01
1.919862177193762509e+00,4.977168949771689199e+01,3.001930422484184666e-02,4.617365336511539198e+01,9.553672744025959673e+00,1.756816572753317623e-02,5.057735818736302491e+01,1.361451244641443381e+01
1.937315469713705829e+00,4.931506849315068308e+01,2.985370647443647343e-02,4.704759487675256935e+01,9.656089574097856953e+00,1.717580984214248790e-02,4.910116460610699107e+01,1.368226880942987833e+01
1.954768762233649149e+00,4.885844748858447417e+01,2.968620114980083033e-02,4.793376556074931472e+01,9.757864646936294406e+00,1.679433797793625574e-02,4.772394015042475957e+01,1.374650748481924722e+01
1.972222054753592246e+00,4.840182648401826526e+01,2.951669152072970703e-02,4.882907447817019175e+01,9.858960387577241136e+00,1.642016507939954295e-02,4.641447651318324574e+01,1.380801356657674539e+01
1.989675347273535566e+00,4.794520547945204925e+01,2.934507622648145977e-02,4.972278367865919790e+01,9.959338271215804284e+00,1.604970609101739887e-02,4.516867564253127654e+01,1.386750191624818385e+01
2.007128639793478886e+00,4.748858447488584034e+01,2.917124858790422909e-02,5.063960398902043636e+01,1.005895913603203518e+01,1.567937595727489017e-02,4.396139728397857738e+01,1.392562374705982009e+01
2.024581932313422428e+00,4.703196347031963143e+01,2.899509634613257891e-02,5.155327281112771942e+01,1.015778351270954261e+01,1.530558962265707312e-02,4.278625977480072606e+01,1.398297392517783599e+01
2.042035224833365525e+00,4.657534246575342252e+01,2.881650140405105434e-02,5.248847849739415494e+01,1.025577222607660310e+01,1.492282968943543266e-02,4.161825416319236126e+01,1.404038330872939255e+01
2.059488517353308623e+00,4.611872146118721361e+01,2.863533957325023124e-02,5.341889670176739457e+01,1.035288639875841810e+01,1.451296207322680387e-02,4.041455090758450552e+01,1.410044039411244654e+01
2.076941809873252165e+00,4.566210045662100470e+01,2.845147918476747390e-02,5.437233592399263671e+01,1.044908995720795986e+01,1.405278928114076648e-02,3.910944852919264747e+01,1.416619328222041929e+01
